nohup: ignoring input
Processing: ../data/pubmed_baseline/csv/pubmed25n0001.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0002.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0003.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0004.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0005.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0006.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0007.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0008.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0009.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0010.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0011.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0012.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0013.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0014.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0015.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0016.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0017.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0018.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0019.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0020.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0021.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0022.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0023.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0024.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0025.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0026.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0027.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0028.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0029.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0030.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0031.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0032.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0033.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0034.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0035.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0036.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0037.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0038.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0039.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0040.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0041.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0042.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0043.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0044.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0045.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0046.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0047.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0048.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0049.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0050.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0051.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0052.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0053.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0054.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0055.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0056.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0057.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0058.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0059.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0060.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0061.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0062.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0063.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0064.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0065.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0066.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0067.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0068.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0069.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0070.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0071.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0072.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0073.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0074.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0075.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0076.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0077.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0078.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0079.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0080.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0081.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0082.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0083.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0084.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0085.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0086.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0087.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0088.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0089.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0090.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0091.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0092.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0093.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0094.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0095.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0096.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0097.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0098.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0099.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0100.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0101.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0102.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0103.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0104.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0105.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0106.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0107.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0108.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0109.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0110.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0111.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0112.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0113.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0114.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0115.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0116.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0117.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0118.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0119.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0120.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0121.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0122.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0123.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0124.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0125.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0126.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0127.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0128.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0129.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0130.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0131.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0132.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0133.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0134.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0135.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0136.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0137.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0138.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0139.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0140.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0141.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0142.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0143.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0144.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0145.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0146.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0147.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0148.csv (30000 records)
